ADDRESS,SALE PRICE,SALE DATE,AREA,STRATA/NON STRATA,MULTI-PROPERTY SALE (Y/N),PROPERTY NUMBER,DEALING NUMBER,EXTRACTION DATE
"54 ARGYLE PLACE, MILLERS POINT NSW 2000","3080000","30 March 2016","194.1","NON STRATA","No",2020780,"AK438024","23 April 2017"
"42 ARGYLE PLACE, MILLERS POINT NSW 2000","2650000","4 May 2016","126.7","NON STRATA","No",2020786,"AK726159","23 April 2017"
"40 ARGYLE PLACE, MILLERS POINT NSW 2000","2750000","25 February 2016","127.2","NON STRATA","No",2020787,"AK676322","23 April 2017"
"38 ARGYLE PLACE, MILLERS POINT NSW 2000","2920000","25 February 2016","128.6","NON STRATA","No",2020788,"AK364713","23 April 2017"
"36 ARGYLE PLACE, MILLERS POINT NSW 2000","3710000","30 November 2016","132.8","NON STRATA","No",2020789,"AM109407","23 April 2017"
"32 ARGYLE PLACE, MILLERS POINT NSW 2000","2150000","4 December 2014","136.3","NON STRATA","No",2020791,"AJ214740","23 April 2017"
"30 ARGYLE PLACE, MILLERS POINT NSW 2000","1950000","15 December 2015","136.1","NON STRATA","No",2020792,"AK184671","23 April 2017"
"30 ARGYLE PLACE, MILLERS POINT NSW 2000","1710000","8 October 2014","136.1","NON STRATA","No",2020792,"AJ101387","23 April 2017"
"28 ARGYLE PLACE, MILLERS POINT NSW 2000","2302000","4 December 2014","174.9","NON STRATA","No",2020793,"AJ188100","23 April 2017"
"24 ARGYLE PLACE, MILLERS POINT NSW 2000","3000000","19 August 2016","143.5","NON STRATA","No",2020795,"AK827820","23 April 2017"
"24 ARGYLE PLACE, MILLERS POINT NSW 2000","2350000","4 December 2014","143.5","NON STRATA","No",2020795,"AJ189432","23 April 2017"
"35 BETTINGTON STREET, MILLERS POINT NSW 2000","17700000","9 April 2015","173.1","NON STRATA","Yes (2)",2020892,"AJ594060","23 April 2017"
"37 DALGETY ROAD, MILLERS POINT NSW 2000","17700000","9 April 2015","32","NON STRATA","Yes (2)",2025523,"AJ594060","23 April 2017"
"89 KENT STREET, MILLERS POINT NSW 2000","40000000","9 June 2012","2307","NON STRATA","No",2031391,"AH167860","23 April 2017"
"1206/127 KENT STREET, MILLERS POINT NSW 2000","1325000","17 November 2016","0","STRATA","No","2031469","AM151855","23 April 2017"
"710/127 KENT STREET, MILLERS POINT NSW 2000","841000","19 October 2016","0","STRATA","No","2031418","AM1075","23 April 2017"
"2803/127 KENT STREET, MILLERS POINT NSW 2000","6250000","5 September 2016","0","STRATA","Yes (5)","2031613","AK957154","23 April 2017"
"317/127 KENT STREET, MILLERS POINT NSW 2000","6250000","5 September 2016","0","STRATA","Yes (5)","2031712","AK957154","23 April 2017"
"318/127 KENT STREET, MILLERS POINT NSW 2000","6250000","5 September 2016","0","STRATA","Yes (5)","2031713","AK957154","23 April 2017"
"319/127 KENT STREET, MILLERS POINT NSW 2000","6250000","5 September 2016","0","STRATA","Yes (5)","2031714","AK957154","23 April 2017"
"333/127 KENT STREET, MILLERS POINT NSW 2000","6250000","5 September 2016","0","STRATA","Yes (5)","2031728","AK957154","23 April 2017"
"2503/127 KENT STREET, MILLERS POINT NSW 2000","4000000","29 April 2016","0","STRATA","Yes (4)","2031597","AK651135","23 April 2017"
"262/127 KENT STREET, MILLERS POINT NSW 2000","4000000","29 April 2016","0","STRATA","Yes (4)","2031658","AK651135","23 April 2017"
"263/127 KENT STREET, MILLERS POINT NSW 2000","4000000","29 April 2016","0","STRATA","Yes (4)","2031659","AK651135","23 April 2017"
"433/127 KENT STREET, MILLERS POINT NSW 2000","4000000","29 April 2016","0","STRATA","Yes (4)","2031827","AK651135","23 April 2017"
"274/127 KENT STREET, MILLERS POINT NSW 2000","1730000","8 April 2016","0","STRATA","Yes (2)","2031670","AK576112","23 April 2017"
"905/127 KENT STREET, MILLERS POINT NSW 2000","1730000","8 April 2016","0","STRATA","Yes (2)","2031435","AK576112","23 April 2017"
"376/127 KENT STREET, MILLERS POINT NSW 2000","1250000","24 March 2016","0","STRATA","Yes (2)","2031770","AK471871","23 April 2017"
"701/127 KENT STREET, MILLERS POINT NSW 2000","1250000","24 March 2016","0","STRATA","Yes (2)","2031409","AK471871","23 April 2017"
"1802/127 KENT STREET, MILLERS POINT NSW 2000","2390000","19 February 2016","0","STRATA","Yes (2)","2031526","AK435782","23 April 2017"
"392/127 KENT STREET, MILLERS POINT NSW 2000","2390000","19 February 2016","0","STRATA","Yes (2)","2031786","AK435782","23 April 2017"
"1701/127 KENT STREET, MILLERS POINT NSW 2000","387500","30 September 2015","0","STRATA","No","2031515","AJ860141","23 April 2017"
"1608/127 KENT STREET, MILLERS POINT NSW 2000","1625000","21 September 2015","0","STRATA","Yes (2)","2031512","AJ970299","23 April 2017"
"221/127 KENT STREET, MILLERS POINT NSW 2000","1625000","21 September 2015","0","STRATA","Yes (2)","2031617","AJ970299","23 April 2017"
"1606/127 KENT STREET, MILLERS POINT NSW 2000","1476000","23 June 2015","0","STRATA","Yes (2)","2031510","AJ748580","23 April 2017"
"400/127 KENT STREET, MILLERS POINT NSW 2000","1476000","23 June 2015","0","STRATA","Yes (2)","2031794","AJ748580","23 April 2017"
"231/127 KENT STREET, MILLERS POINT NSW 2000","1400000","19 May 2015","0","STRATA","Yes (2)","2031627","AJ665475","23 April 2017"
"805/127 KENT STREET, MILLERS POINT NSW 2000","1400000","19 May 2015","0","STRATA","Yes (2)","2031424","AJ665475","23 April 2017"
"2201/127 KENT STREET, MILLERS POINT NSW 2000","400000","4 February 2015","0","STRATA","Yes (2)","2031565","AJ322216","23 April 2017"
"354/127 KENT STREET, MILLERS POINT NSW 2000","400000","4 February 2015","0","STRATA","Yes (2)","2031748","AJ322216","23 April 2017"
"269/127 KENT STREET, MILLERS POINT NSW 2000","3800000","19 September 2014","0","STRATA","Yes (4)","2031665","AJ94335","23 April 2017"
"2802/127 KENT STREET, MILLERS POINT NSW 2000","3800000","19 September 2014","0","STRATA","Yes (4)","2031612","AJ94335","23 April 2017"
"2802/127 KENT STREET, MILLERS POINT NSW 2000","3800000","19 September 2014","0","STRATA","Yes (4)","2031664","AJ94335","23 April 2017"
"422/127 KENT STREET, MILLERS POINT NSW 2000","3800000","19 September 2014","0","STRATA","Yes (4)","2031816","AJ94335","23 April 2017"
"607/127 KENT STREET, MILLERS POINT NSW 2000","1425000","26 August 2014","0","STRATA","Yes (2)","2031404","AI955638","23 April 2017"
"607/127 KENT STREET, MILLERS POINT NSW 2000","1425000","26 August 2014","0","STRATA","Yes (2)","2031710","AI955638","23 April 2017"
"2601/127 KENT STREET, MILLERS POINT NSW 2000","2980000","19 August 2014","0","STRATA","Yes (4)","2031601","AJ45923","23 April 2017"
"373/127 KENT STREET, MILLERS POINT NSW 2000","2980000","19 August 2014","0","STRATA","Yes (4)","2031767","AJ45923","23 April 2017"
"430/127 KENT STREET, MILLERS POINT NSW 2000","2980000","19 August 2014","0","STRATA","Yes (4)","2031824","AJ45923","23 April 2017"
"603/127 KENT STREET, MILLERS POINT NSW 2000","2980000","19 August 2014","0","STRATA","Yes (4)","2031842","AJ45923","23 April 2017"
"290/127 KENT STREET, MILLERS POINT NSW 2000","110000","22 July 2014","0","STRATA","No","2031686","AI875544","23 April 2017"
"345/127 KENT STREET, MILLERS POINT NSW 2000","1120000","6 May 2014","0","STRATA","Yes (2)","2031740","AI721062","23 April 2017"
"904/127 KENT STREET, MILLERS POINT NSW 2000","1120000","6 May 2014","0","STRATA","Yes (2)","2031434","AI721062","23 April 2017"
"2110/127 KENT STREET, MILLERS POINT NSW 2000","870000","17 April 2014","0","STRATA","Yes (2)","2031564","AI643591","23 April 2017"
"251/127 KENT STREET, MILLERS POINT NSW 2000","870000","17 April 2014","0","STRATA","Yes (2)","2031647","AI643591","23 April 2017"
"910/127 KENT STREET, MILLERS POINT NSW 2000","625000","27 March 2014","0","STRATA","No","2031440","AI587455","23 April 2017"
"1408/127 KENT STREET, MILLERS POINT NSW 2000","1330000","21 March 2014","0","STRATA","Yes (2)","2031492","AI570096","23 April 2017"
"328/127 KENT STREET, MILLERS POINT NSW 2000","1330000","21 March 2014","0","STRATA","Yes (2)","2031723","AI570096","23 April 2017"
"370/127 KENT STREET, MILLERS POINT NSW 2000","1592500","18 March 2014","0","STRATA","Yes (2)","2031764","AI599906","23 April 2017"
"902/127 KENT STREET, MILLERS POINT NSW 2000","1592500","18 March 2014","0","STRATA","Yes (2)","2031432","AI599906","23 April 2017"
"2305/127 KENT STREET, MILLERS POINT NSW 2000","1810000","13 February 2014","0","STRATA","Yes (2)","2031579","AI514416","23 April 2017"
"252/127 KENT STREET, MILLERS POINT NSW 2000","1810000","13 February 2014","0","STRATA","Yes (2)","2031648","AI514416","23 April 2017"
"908/127 KENT STREET, MILLERS POINT NSW 2000","1180000","3 February 2014","0","STRATA","Yes (2)","2031438","AI459427","23 April 2017"
"908/127 KENT STREET, MILLERS POINT NSW 2000","1180000","3 February 2014","0","STRATA","Yes (2)","2031682","AI459427","23 April 2017"
"1807/127 KENT STREET, MILLERS POINT NSW 2000","1750000","17 December 2013","0","STRATA","Yes (2)","2031531","AI366813","23 April 2017"
"1807/127 KENT STREET, MILLERS POINT NSW 2000","1750000","17 December 2013","0","STRATA","Yes (2)","2031717","AI366813","23 April 2017"
"260/127 KENT STREET, MILLERS POINT NSW 2000","3400000","1 November 2013","0","STRATA","Yes (4)","2031656","AJ127450","23 April 2017"
"261/127 KENT STREET, MILLERS POINT NSW 2000","3400000","1 November 2013","0","STRATA","Yes (4)","2031657","AJ127450","23 April 2017"
"2808/127 KENT STREET, MILLERS POINT NSW 2000","3400000","1 November 2013","0","STRATA","Yes (4)","2031614","AJ127450","23 April 2017"
"421/127 KENT STREET, MILLERS POINT NSW 2000","3400000","1 November 2013","0","STRATA","Yes (4)","2031815","AJ127450","23 April 2017"
"1604/127 KENT STREET, MILLERS POINT NSW 2000","1350000","23 October 2013","0","STRATA","Yes (2)","2031508","AI222970","23 April 2017"
"1604/127 KENT STREET, MILLERS POINT NSW 2000","1350000","23 October 2013","0","STRATA","Yes (2)","2031735","AI222970","23 April 2017"
"342/127 KENT STREET, MILLERS POINT NSW 2000","1205000","17 October 2013","0","STRATA","Yes (2)","2031737","AI186549","23 April 2017"
"604/127 KENT STREET, MILLERS POINT NSW 2000","1205000","17 October 2013","0","STRATA","Yes (2)","2031401","AI186549","23 April 2017"
"1601/127 KENT STREET, MILLERS POINT NSW 2000","1190000","17 June 2013","0","STRATA","Yes (2)","2031505","AH941693","23 April 2017"
